sp	lat	lon	alt	sigma_h	sigma_v	fixInfo	epsg
ScanPos126	35.888686680637242	-75.584422921182281	-32.641282181255519	0.014099999330937862	0.01249999925494194	RTK fixed	6319
ScanPos127	35.888568629423538	-75.584300864575795	-33.055246325209737	0.014099999330937862	0.012399999424815178	RTK fixed	6319
ScanPos128	35.88843065522412	-75.584205417901714	-33.061885370872915	0.014099999330937862	0.012399999424815178	RTK fixed	6319
ScanPos129	35.888271069987766	-75.584141392430737	-32.913808763958514	0.014099999330937862	0.012399999424815178	RTK fixed	6319
ScanPos130	35.888108887353042	-75.584093596888678	-32.681549297645688	0.014099999330937862	0.012399999424815178	RTK fixed	6319
ScanPos131	35.887972587442881	-75.584020857733307	-32.626161956228316	0.014099999330937862	0.012399999424815178	RTK fixed	6319
ScanPos132	35.887838837108326	-75.583920422641469	-32.787155468948185	0.014099999330937862	0.012299999594688416	RTK fixed	6319
ScanPos133	35.887707644119843	-75.583800648675862	-33.19613431673497	0.014099999330937862	0.012299999594688416	RTK fixed	6319
ScanPos134	35.887550781998669	-75.58373088038762	-32.886008685454726	0.014099999330937862	0.012299999594688416	RTK fixed	6319
ScanPos135	35.887374919065998	-75.583699259022424	-32.650247848592699	0.014099999330937862	0.012299999594688416	RTK fixed	6319
ScanPos136	35.887219884890875	-75.583629615211564	-32.380091292783618	0.014099999330937862	0.012299999594688416	RTK fixed	6319
ScanPos137	35.887069258929223	-75.583529198725984	-32.315676514059305	0.014099999330937862	0.012600000016391277	RTK fixed	6319
ScanPos138	35.886949532275807	-75.58346364781616	-32.217525575309992	0.014099999330937862	0.012299999594688416	RTK fixed	6319
ScanPos139	35.886813944598551	-75.583376683066746	-32.463012010790408	0.014099999330937862	0.012299999594688416	RTK fixed	6319
ScanPos140	35.886682219132375	-75.58325446748313	-32.789030627347529	0.014099999330937862	0.012199999764561653	RTK fixed	6319
ScanPos141	35.886526069368777	-75.583098343526174	-33.392113637179136	0.014099999330937862	0.012199999764561653	RTK fixed	6319
ScanPos142	35.886379967325695	-75.582982815562616	-33.572724111378193	0.014099999330937862	0.010199999436736107	RTK fixed	6319
